MSZoning,LotArea,Utilities,HouseStyle,OverallQual,OverallCond,YearBuilt,RoofStyle,BsmtQual,BsmtCond,CentralAir,KitchenQual,GarageType,GarageArea,GarageQual,GarageCond,SalePrice
C (all),7879,AllPub,1Story,4,5,1920,Gable,TA,TA,N,TA,Attchd,0,TA,TA,34900
RL,12692,AllPub,1Story,8,5,1992,Hip,Gd,TA,Y,Gd,Attchd,546,TA,TA,430000
RL,9120,AllPub,1.5Fin,7,6,1925,Gable,TA,TA,Y,TA,Detchd,240,TA,TA,184000
RL,7800,AllPub,1Story,5,7,1967,Hip,TA,TA,Y,Gd,Attchd,288,TA,TA,130000
RL,7535,AllPub,1Story,5,7,1958,Gable,TA,TA,Y,TA,Attchd,297,TA,TA,120000
RM,1890,AllPub,2Story,6,5,1973,Gable,TA,TA,Y,TA,Detchd,264,TA,TA,113000
FV,9803,AllPub,2Story,7,5,2005,Gable,Gd,TA,Y,Gd,Attchd,603,TA,TA,226700
RL,9170,AllPub,1Story,5,7,1965,Hip,TA,TA,Y,TA,Detchd,461,Fa,Fa,140000
RL,15602,AllPub,1Story,7,8,1959,Gable,TA,TA,Y,TA,Attchd,484,TA,TA,289000
RL,2308,AllPub,2Story,6,5,1974,Gable,TA,TA,Y,TA,Attchd,440,TA,TA,147000
RM,7596,AllPub,2Story,5,5,1952,Hip,TA,TA,Y,TA,Detchd,400,TA,TA,124500
RL,9554,AllPub,2Story,8,5,1993,Gable,Gd,TA,Y,Gd,Attchd,471,TA,TA,215000
FV,7862,AllPub,1Story,6,5,2009,Gable,Gd,TA,Y,Gd,Attchd,676,TA,TA,208300
RM,9600,AllPub,2Story,7,9,1928,Gambrel,TA,TA,Y,Gd,Detchd,360,TA,TA,161000
RL,9600,AllPub,1Story,5,6,1959,Gable,TA,TA,Y,TA,Attchd,270,TA,TA,124500
RL,14559,AllPub,1Story,5,7,1951,Hip,TA,TA,Y,TA,CarPort,288,TA,TA,164900
RL,6792,AllPub,1Story,7,5,2005,Gable,Gd,TA,Y,Gd,Attchd,474,TA,TA,202665
RL,9100,AllPub,1Story,5,5,1958,Gable,TA,TA,Y,TA,Detchd,624,TA,TA,129900
RL,9187,AllPub,1Story,6,5,1983,Gable,TA,TA,Y,TA,Attchd,484,TA,TA,134000
RL,10594,AllPub,1.5Unf,5,5,1926,Gable,TA,TA,N,TA,Detchd,200,Po,Po,96500
RL,12220,AllPub,1Story,10,5,2009,Hip,Ex,TA,Y,Ex,Attchd,900,TA,TA,402861
RL,10448,AllPub,SLvl,6,6,1972,Gable,TA,TA,Y,TA,Attchd,583,TA,TA,158000
RL,10208,AllPub,2Story,7,5,1996,Gable,Gd,TA,Y,Gd,Attchd,889,TA,TA,265000
RL,9531,AllPub,2Story,6,5,1998,Gable,Gd,TA,Y,TA,Attchd,546,TA,TA,211000
RL,10918,AllPub,2Story,7,9,1926,Gambrel,Gd,TA,Y,Gd,Detchd,282,TA,TA,234000
RL,10800,AllPub,2Story,4,7,1900,Gable,TA,TA,N,TA,Attchd,0,TA,TA,106250
RL,11988,AllPub,1Story,6,6,1957,Gable,TA,TA,Y,TA,Attchd,336,TA,TA,150000
RM,5000,AllPub,1.5Fin,6,7,1947,Gable,TA,TA,Y,TA,Detchd,420,TA,TA,159000
RL,40094,AllPub,2Story,10,5,2007,Hip,Ex,TA,Y,Ex,BuiltIn,884,TA,TA,184750
RL,11787,AllPub,2Story,7,5,1996,Gable,Gd,TA,Y,Gd,Attchd,834,TA,TA,315750
FV,7500,AllPub,1Story,7,5,2005,Gable,Gd,TA,Y,Gd,Attchd,453,TA,TA,176000
RL,13300,AllPub,1Story,5,7,1956,Hip,Gd,TA,Y,TA,Attchd,252,TA,TA,132000
RL,14948,AllPub,2Story,9,5,2008,Hip,Ex,TA,Y,Ex,Attchd,858,TA,TA,446261
RL,9098,AllPub,1Story,4,7,1920,Gable,TA,TA,Y,TA,Attchd,0,TA,TA,86000
RL,32668,AllPub,1Story,6,3,1957,Hip,TA,TA,Y,TA,Attchd,484,TA,TA,200624
RL,10200,AllPub,SLvl,6,5,1988,Gable,Gd,TA,Y,Gd,Attchd,600,TA,TA,175000
RM,6155,AllPub,2Story,6,8,1920,Gable,Fa,Fa,Y,TA,Detchd,502,TA,Fa,128000
RL,7200,AllPub,1Story,5,7,1955,Gable,TA,TA,Y,TA,Detchd,392,TA,TA,107500
RL,5000,AllPub,1Story,1,3,1946,Gable,TA,TA,N,Fa,Attchd,0,TA,TA,39300
RL,9056,AllPub,2Story,8,5,2004,Gable,Ex,Gd,Y,Gd,Attchd,403,TA,TA,178000
RL,7000,AllPub,2Story,5,7,1910,Gable,Gd,TA,Y,TA,Attchd,0,TA,TA,107500
RL,8924,AllPub,2Story,7,5,1998,Gable,Gd,TA,Y,Gd,Attchd,527,TA,TA,188000
RL,12735,AllPub,1Story,4,5,1972,Hip,TA,TA,Y,TA,Detchd,576,TA,TA,111250
RL,11553,AllPub,1Story,5,5,1968,Hip,TA,TA,Y,TA,Attchd,336,TA,TA,158000
RL,11423,AllPub,1Story,8,5,2001,Gable,Gd,TA,Y,Gd,Attchd,670,TA,TA,272000
RL,14601,AllPub,1Story,9,5,2006,Hip,Ex,TA,Y,Ex,Attchd,765,TA,TA,315000
RL,11000,AllPub,2Story,8,5,2000,Gable,Gd,TA,Y,Gd,BuiltIn,648,TA,TA,248000
RL,10140,AllPub,1Story,7,5,1998,Hip,Ex,TA,Y,Gd,Attchd,583,TA,TA,213250
RH,4058,AllPub,SFoyer,7,5,1998,Gable,Gd,TA,Y,TA,Attchd,367,TA,TA,133000
RL,17104,AllPub,2Story,7,5,2006,Gable,Gd,Gd,Y,Gd,Attchd,426,TA,TA,179665
RL,13837,AllPub,1.5Fin,7,5,1988,Gable,Gd,Gd,Y,Gd,Attchd,786,TA,TA,229000
RL,8737,AllPub,1.5Fin,6,7,1923,Gable,Gd,TA,Y,TA,Detchd,440,TA,TA,210000
RL,7244,AllPub,SFoyer,5,7,1970,Gable,Gd,TA,Y,TA,Detchd,624,TA,TA,129500
RM,8235,AllPub,1Story,5,7,1955,Gable,TA,TA,Y,TA,Detchd,720,TA,TA,125000
FV,9375,AllPub,2Story,7,5,2003,Gable,Gd,TA,Y,Gd,BuiltIn,615,TA,TA,263000
RL,4043,AllPub,1Story,6,6,1977,Gable,Gd,TA,Y,TA,Attchd,440,TA,TA,140000
RM,6000,AllPub,1Story,5,6,1957,Hip,TA,TA,Y,TA,Attchd,288,TA,TA,112500
RL,11146,AllPub,1Story,8,5,2006,Gable,Ex,TA,Y,Gd,Attchd,908,TA,TA,255500
RL,8777,AllPub,1Story,4,5,1949,Gable,TA,TA,Y,Gd,Detchd,520,TA,TA,108000
RL,10625,AllPub,2Story,7,5,2003,Gable,Gd,TA,Y,Gd,BuiltIn,871,TA,TA,284000
RM,6380,AllPub,1.5Unf,5,6,1922,Gable,TA,Fa,Y,TA,Detchd,280,TA,TA,113000
RL,14850,AllPub,1Story,5,5,1957,Gable,TA,TA,Y,TA,Attchd,299,TA,TA,141000
C (all),11040,AllPub,1.5Fin,4,6,1920,Gable,TA,TA,Y,TA,CarPort,570,TA,TA,108000
RL,21872,AllPub,2Story,7,5,1996,Gable,Gd,TA,Y,TA,Attchd,406,TA,TA,175000
RL,3196,AllPub,1Story,7,5,2003,Gable,Gd,TA,Y,Gd,Attchd,420,TA,TA,234000
RL,11341,AllPub,1Story,5,6,1957,Hip,Gd,TA,Y,TA,Detchd,528,TA,TA,121500
RL,10010,AllPub,1Story,5,5,1974,Gable,Gd,TA,Y,TA,Attchd,418,TA,TA,170000
RL,13907,AllPub,1Story,5,6,1940,Gable,TA,TA,Y,TA,Attchd,0,TA,TA,108000
RL,21780,AllPub,1.5Fin,6,7,1918,Gable,Gd,TA,Y,TA,Detchd,396,TA,TA,185000
RL,13346,AllPub,2Story,7,5,1992,Gable,Gd,TA,Y,Gd,Attchd,590,TA,TA,268000
RL,6858,AllPub,2Story,6,4,1915,Gable,Gd,TA,N,Fa,Detchd,216,TA,TA,128000
RL,11198,AllPub,2Story,9,5,2005,Hip,Gd,Gd,Y,Ex,BuiltIn,656,TA,TA,325000
RL,10171,AllPub,1Story,7,5,2004,Gable,Gd,TA,Y,Gd,Attchd,532,TA,TA,214000
RL,12327,AllPub,1.5Fin,8,8,1983,Gable,Gd,TA,Y,Gd,BuiltIn,612,Gd,TA,316600
RL,7032,AllPub,SFoyer,5,5,1979,Gable,Gd,TA,Y,TA,Detchd,600,TA,TA,135960
RL,13101,AllPub,1Story,5,5,1965,Gable,TA,TA,Y,TA,Detchd,576,TA,TA,142600
RL,7332,AllPub,1Story,6,6,1959,Gable,TA,TA,Y,Gd,Attchd,288,TA,TA,120000
RL,13159,AllPub,2Story,7,5,2009,Gable,Ex,TA,Y,Gd,Attchd,650,TA,TA,224500
RL,9967,AllPub,SLvl,7,5,2000,Gable,Gd,TA,Y,TA,BuiltIn,400,TA,TA,170000
RL,10500,AllPub,SLvl,5,7,1971,Gambrel,TA,TA,Y,TA,BuiltIn,288,TA,TA,139000
RL,8480,AllPub,1.5Fin,5,5,1947,Gable,TA,TA,Y,TA,Detchd,336,TA,TA,118500
RL,6292,AllPub,1.5Fin,7,7,1928,Gable,TA,TA,Y,TA,Detchd,216,TA,TA,145000
RL,11777,AllPub,SLvl,5,6,1966,Gable,TA,TA,Y,TA,Attchd,564,TA,TA,164500
FV,3604,AllPub,2Story,7,5,2007,Gable,Gd,TA,Y,Gd,Detchd,540,TA,TA,146000
RM,12150,AllPub,1.5Fin,5,5,1954,Gable,TA,TA,N,TA,Attchd,352,Fa,TA,131500
RL,14585,AllPub,1Story,6,6,1960,Gable,TA,TA,Y,Gd,Attchd,572,TA,TA,181900
RL,12704,AllPub,1Story,8,5,2008,Hip,Ex,TA,Y,Ex,Attchd,1390,TA,TA,253293
RL,11841,AllPub,SFoyer,6,5,1990,Gable,Gd,TA,Y,TA,Attchd,0,TA,TA,118500
RM,13500,AllPub,2.5Unf,10,9,1893,Gable,TA,TA,Y,Gd,Detchd,880,Gd,TA,325000
RM,6120,AllPub,1.5Fin,4,7,1935,Gable,TA,TA,Y,Gd,Detchd,240,TA,TA,133000
RL,11443,AllPub,1Story,8,5,2005,Hip,Ex,TA,Y,Gd,Attchd,880,TA,TA,369900
RL,10267,AllPub,1Story,6,7,1918,Gable,TA,Gd,Y,Fa,Detchd,275,TA,TA,130000
RL,8740,AllPub,SFoyer,5,6,1982,Hip,TA,TA,Y,TA,Detchd,528,TA,TA,137000
RL,25095,AllPub,1Story,5,8,1968,Flat,TA,TA,Y,Ex,Attchd,452,TA,TA,143000
RM,9100,AllPub,1Story,5,6,1930,Gable,TA,TA,Y,TA,Detchd,308,TA,TA,79500
RL,8320,AllPub,2Story,7,5,2004,Gable,Gd,TA,Y,Gd,Attchd,520,TA,TA,185900
RL,13478,AllPub,2Story,10,5,2008,Gable,Ex,TA,Y,Ex,BuiltIn,842,TA,TA,451950
RL,6600,AllPub,1Story,5,8,1982,Gable,TA,Gd,Y,TA,Detchd,816,TA,TA,138000
RM,4435,AllPub,1Story,6,5,2003,Gable,Gd,TA,Y,Gd,Attchd,420,TA,TA,140000
RL,7990,AllPub,1Story,5,6,1975,Hip,Gd,TA,Y,TA,Detchd,280,TA,TA,110000
RL,11302,AllPub,1Story,8,5,2005,Gable,Gd,TA,Y,Gd,Attchd,758,TA,TA,319000
RM,3600,AllPub,2Story,6,7,1910,Gable,TA,TA,N,TA,Detchd,216,TA,Fa,114504
RL,3922,AllPub,1Story,7,5,2006,Gable,Ex,TA,Y,Gd,Attchd,648,TA,TA,194201
RL,12984,AllPub,1Story,5,6,1977,Gable,Gd,TA,Y,Gd,Attchd,621,TA,TA,217500
RM,1950,AllPub,2Story,6,6,1980,Gable,Gd,TA,Y,TA,Attchd,452,TA,TA,151000
RL,10927,AllPub,2Story,8,5,2005,Gable,Gd,TA,Y,Ex,BuiltIn,736,TA,TA,275000
RM,9000,AllPub,1.5Fin,6,6,1937,Gable,TA,TA,Y,Gd,Detchd,544,TA,TA,141000
RL,10041,AllPub,2Story,8,5,1992,Gable,Gd,TA,Y,Gd,Attchd,506,TA,TA,220000
FV,3182,AllPub,2Story,7,5,2004,Gable,Gd,TA,Y,Gd,Detchd,480,TA,TA,151000
RL,12803,AllPub,1Story,7,5,2002,Gable,Gd,TA,Y,Gd,Attchd,530,TA,TA,221000
RL,13600,AllPub,2Story,7,6,1965,Gable,TA,TA,Y,TA,Attchd,486,TA,TA,205000
RL,12464,AllPub,1Story,5,5,1996,Gable,Gd,TA,Y,Gd,Detchd,576,TA,TA,152000
RL,7800,AllPub,2Story,5,8,1948,Gable,TA,Gd,Y,Ex,Attchd,230,TA,TA,225000
RL,12168,AllPub,2Story,8,6,1934,Gable,Gd,TA,Y,TA,Basment,380,TA,TA,359100
RL,7943,AllPub,1Story,4,5,1961,Gable,TA,TA,Y,TA,Attchd,261,TA,TA,118500
RL,11050,AllPub,2Story,9,5,2000,Hip,Ex,TA,Y,Ex,Attchd,736,TA,TA,313000
RL,10395,AllPub,SLvl,6,6,1978,Gable,Gd,TA,Y,TA,Attchd,564,TA,TA,148000
RL,11885,AllPub,2Story,8,5,2001,Gable,Gd,TA,Y,Ex,BuiltIn,531,TA,TA,261500
RL,8402,AllPub,1Story,5,5,2007,Gable,Gd,TA,Y,TA,Attchd,0,TA,TA,147000
RM,1491,AllPub,SFoyer,4,6,1972,Gable,Gd,TA,Y,TA,Attchd,0,TA,TA,75500
RL,8800,AllPub,SFoyer,6,7,1963,Gable,TA,TA,Y,Gd,Attchd,480,TA,TA,137500
RL,7861,AllPub,2Story,6,5,2002,Gable,Gd,TA,Y,Gd,Attchd,393,TA,TA,183200
RL,7227,AllPub,1.5Unf,6,6,1954,Gable,TA,TA,Y,Gd,Detchd,528,TA,TA,105500
RL,11694,AllPub,1Story,9,5,2007,Hip,Ex,TA,Y,Gd,Attchd,774,TA,TA,314813
RL,12244,AllPub,2Story,8,5,2003,Hip,Gd,TA,Y,Gd,Attchd,749,TA,TA,305000
RL,8248,AllPub,1Story,3,3,1914,Gable,TA,TA,N,TA,Attchd,0,TA,TA,67000
RL,10800,AllPub,2Story,6,7,1974,Gable,TA,TA,Y,TA,Attchd,624,TA,TA,240000
RL,7064,AllPub,1Story,5,6,1977,Gable,TA,TA,Y,TA,Detchd,484,TA,TA,135000
FV,2117,AllPub,2Story,6,5,2000,Gable,Gd,TA,Y,Gd,Detchd,440,TA,TA,168500
RL,10400,AllPub,2Story,6,5,1972,Gable,TA,TA,Y,TA,Attchd,484,TA,TA,165150
RL,10000,AllPub,1Story,6,6,1962,Hip,TA,TA,Y,TA,Attchd,440,TA,TA,160000
RL,12342,AllPub,1Story,5,5,1960,Hip,TA,TA,Y,TA,Attchd,286,TA,TA,139900
RL,9600,AllPub,SLvl,6,6,1955,Gable,TA,TA,Y,TA,Basment,364,TA,TA,153000
RL,11606,AllPub,2Story,5,5,1969,Gable,Gd,TA,Y,Fa,Attchd,504,TA,TA,135000
RL,9020,AllPub,SLvl,6,5,1964,Gable,TA,TA,Y,TA,Attchd,520,TA,TA,168500
RM,9000,AllPub,2Story,5,6,1880,Gable,Fa,Fa,Y,Ex,Detchd,240,Fa,Po,124000
RL,4590,AllPub,1Story,8,5,2006,Gable,Gd,Gd,Y,Gd,Attchd,627,TA,TA,209500
RL,11900,AllPub,1Story,7,5,1977,Hip,TA,TA,Y,TA,Attchd,544,TA,TA,82500
RL,9250,AllPub,1Story,5,7,1954,Gable,TA,TA,Y,TA,Attchd,260,TA,TA,139400
RL,6979,AllPub,SFoyer,6,5,1980,Gable,TA,TA,Y,TA,Detchd,576,TA,TA,144000
RH,10896,AllPub,2.5Fin,6,7,1914,Hip,TA,Fa,Y,Fa,Attchd,0,TA,TA,200000
RM,6120,AllPub,1Story,2,3,1936,Gable,TA,Fa,N,Fa,Attchd,0,TA,TA,60000
RM,6000,AllPub,1.5Fin,5,4,1954,Gable,TA,TA,Y,Gd,BuiltIn,256,TA,TA,93000
RL,8777,AllPub,1Story,5,7,1910,Gable,Fa,TA,Y,TA,Attchd,0,TA,TA,85000
RL,3982,AllPub,1Story,8,5,2006,Hip,Gd,Gd,Y,Ex,Attchd,648,TA,TA,264561
RL,12677,AllPub,1Story,8,5,2003,Hip,Ex,TA,Y,Ex,Attchd,588,TA,TA,274000
FV,7050,AllPub,2Story,7,5,2001,Gable,Gd,TA,Y,Gd,Attchd,650,TA,TA,226000
RL,13860,AllPub,SLvl,8,7,1972,Gable,Gd,TA,Y,Ex,Attchd,538,TA,TA,345000
RL,10793,AllPub,2Story,5,5,1969,Mansard,TA,TA,Y,TA,Attchd,462,TA,TA,152000
FV,9187,AllPub,1Story,9,5,2009,Gable,Ex,TA,Y,Ex,Attchd,478,TA,TA,370878
RL,10530,AllPub,1Story,6,5,1971,Hip,TA,TA,Y,TA,Detchd,576,TA,TA,143250
RL,7200,AllPub,1Story,5,5,1950,Hip,TA,TA,Y,TA,Detchd,420,TA,TA,98300
RL,10452,AllPub,1Story,6,5,1953,Hip,TA,TA,Y,TA,Attchd,495,TA,TA,155000
RL,7700,AllPub,2Story,6,5,1966,Gable,TA,TA,Y,TA,Attchd,442,TA,TA,155000
RM,1936,AllPub,SFoyer,4,6,1970,Gable,Gd,TA,Y,TA,Attchd,0,TA,TA,84500
FV,8125,AllPub,2Story,7,6,2007,Gable,Gd,TA,Y,Gd,Attchd,562,TA,TA,205950
RL,9084,AllPub,2Story,4,5,1940,Gable,TA,TA,Y,TA,Detchd,296,Fa,Po,108000
RL,8750,AllPub,2Story,7,5,1996,Gable,Gd,TA,Y,Gd,Attchd,512,TA,TA,191000
RM,10320,AllPub,1.5Fin,6,7,1906,Gable,TA,TA,Y,TA,Detchd,216,TA,TA,135000
RL,10437,AllPub,1Story,8,6,1995,Hip,Gd,TA,Y,Gd,Attchd,839,TA,TA,350000
RM,1680,AllPub,2Story,6,5,1971,Gable,TA,TA,Y,TA,Detchd,264,TA,TA,88000
RL,10007,AllPub,1Story,5,7,1959,Gable,TA,TA,Y,Gd,Attchd,312,TA,TA,145500
RL,7200,AllPub,2Story,7,6,1931,Gable,Gd,TA,Y,TA,Attchd,270,TA,TA,149000
RL,17503,AllPub,1.5Fin,6,5,1948,Gable,TA,TA,Y,TA,Attchd,330,TA,TA,97500
RL,9937,AllPub,1Story,5,7,1964,Hip,TA,TA,Y,TA,Detchd,480,TA,TA,167000
RL,12384,AllPub,2Story,7,7,1976,Gable,Gd,TA,Y,TA,Attchd,550,TA,TA,197900
RL,46589,AllPub,2Story,8,7,1994,Hip,Gd,Gd,Y,Gd,Attchd,711,TA,TA,402000
RL,13560,AllPub,1Story,6,3,1968,Hip,Fa,Fa,Y,TA,Attchd,576,TA,TA,110000
RL,10012,AllPub,SFoyer,4,5,1972,Gable,Gd,TA,Y,TA,Detchd,588,TA,TA,137500
RL,20896,AllPub,1Story,8,5,2005,Gable,Ex,TA,Y,Ex,Attchd,1134,TA,TA,423000
RL,11194,AllPub,2Story,8,5,2000,Gable,Gd,TA,Y,Gd,Attchd,504,TA,TA,230500
RL,18450,AllPub,2Story,6,5,1965,Flat,Gd,TA,Y,TA,CarPort,596,TA,TA,129000
RL,8125,AllPub,1Story,6,5,1994,Gable,Gd,TA,Y,Gd,Attchd,575,TA,TA,193500
RL,14175,AllPub,1Story,5,6,1956,Gable,TA,TA,Y,TA,Detchd,576,TA,TA,168000
RL,11600,AllPub,1Story,4,5,1922,Gable,Fa,TA,Y,Fa,Detchd,252,TA,Fa,137500
RL,8633,AllPub,2Story,6,5,2005,Gable,Gd,TA,Y,Gd,Attchd,540,TA,TA,173500
RH,6629,AllPub,2Story,6,6,1925,Gambrel,TA,TA,N,TA,Detchd,300,TA,TA,103600
RL,11250,AllPub,1Story,6,6,1977,Gable,Gd,TA,Y,TA,Attchd,546,TA,TA,165000
RL,14442,AllPub,1Story,6,7,1957,Hip,TA,TA,Y,Gd,Attchd,416,TA,TA,257500
RL,9200,AllPub,1Story,6,6,1965,Gable,TA,TA,Y,TA,Attchd,384,TA,TA,140000
RL,2289,AllPub,2Story,6,6,1978,Gable,TA,TA,Y,TA,Attchd,440,TA,TA,148500
RM,9600,AllPub,2Story,4,2,1900,Gable,TA,Fa,N,TA,2Types,779,Fa,Fa,87000
RL,9022,AllPub,1Story,5,8,1924,Gable,TA,TA,Y,Gd,Detchd,240,Fa,Fa,109500
RL,11844,AllPub,1Story,8,5,2008,Hip,Ex,TA,Y,Gd,Attchd,834,TA,TA,372500
RL,9945,AllPub,1Story,5,5,1961,Hip,TA,TA,Y,TA,Detchd,572,TA,TA,128500
RL,8012,AllPub,1Story,6,5,1980,Gable,Gd,TA,Y,TA,Attchd,264,TA,TA,143000
RH,4500,AllPub,1.5Fin,5,5,1932,Gable,TA,TA,Y,TA,Detchd,281,TA,TA,159434
RL,2887,AllPub,1Story,6,5,1996,Gable,Gd,TA,Y,Gd,Attchd,431,TA,TA,173000
RL,11248,AllPub,1Story,9,5,2002,Hip,Gd,TA,Y,Gd,Attchd,702,TA,TA,285000
RL,16770,AllPub,2Story,7,5,1998,Gable,Gd,TA,Y,TA,Attchd,486,TA,TA,221000
RL,5062,AllPub,2Story,7,5,1984,Gable,Gd,TA,Y,Gd,Attchd,577,TA,TA,207500
FV,10207,AllPub,2Story,7,6,2007,Gable,Gd,TA,Y,Gd,Attchd,578,TA,TA,227875
FV,5105,AllPub,2Story,7,5,2004,Gable,Gd,TA,Y,Gd,Detchd,480,TA,TA,148800
RL,8089,AllPub,1Story,8,6,2007,Gable,Gd,TA,Y,Gd,Attchd,567,TA,TA,392000
RL,7577,AllPub,1Story,6,5,2005,Gable,Gd,TA,Y,Gd,Attchd,460,TA,TA,194700
RM,4426,AllPub,1Story,6,5,2004,Gable,Gd,TA,Y,Gd,Attchd,420,TA,TA,141000
RL,21535,AllPub,2Story,10,6,1994,Gable,Ex,TA,Y,Ex,Attchd,832,TA,TA,755000
RL,26178,AllPub,2Story,7,5,1989,Hip,Gd,TA,Y,Gd,Attchd,628,TA,TA,335000
RL,5400,AllPub,1Story,5,6,1921,Gable,TA,TA,Y,TA,Detchd,326,TA,TA,108480
RM,6120,AllPub,1.5Fin,5,6,1936,Gable,TA,TA,Y,TA,Detchd,576,TA,TA,141500
RL,13811,AllPub,1Story,6,6,1987,Gable,Gd,Gd,Y,Gd,Attchd,551,TA,TA,176000
RM,6000,AllPub,1Story,5,7,1921,Gable,TA,TA,Y,TA,Detchd,205,TA,TA,89000
RL,6420,AllPub,1Story,5,7,1952,Gable,Ex,Gd,Y,TA,Detchd,308,TA,TA,123500
RL,8450,AllPub,1Story,5,8,1965,Gable,TA,TA,Y,TA,Detchd,336,TA,TA,138500
FV,4282,AllPub,1Story,7,5,2004,Gable,Gd,TA,Y,Gd,Attchd,530,TA,TA,196000
RL,14331,AllPub,1Story,8,5,2002,Hip,Ex,TA,Y,Gd,Attchd,765,TA,TA,312500
RL,9600,AllPub,1Story,7,5,1969,Hip,TA,TA,Y,TA,Attchd,528,TA,TA,140000
RL,12438,AllPub,2Story,8,5,2006,Hip,Ex,Gd,Y,Ex,BuiltIn,666,TA,TA,361919
RM,7630,AllPub,2Story,5,9,1900,Gable,Gd,TA,Y,Gd,Detchd,672,TA,TA,140000
RL,8400,AllPub,1Story,7,5,2004,Gable,Gd,TA,Y,Gd,Attchd,606,TA,TA,213000
RM,5600,AllPub,2Story,4,5,1930,Hip,TA,TA,N,Fa,Attchd,0,TA,TA,55000
RL,115149,AllPub,1Story,7,5,1971,Gable,Gd,TA,Y,Gd,Attchd,739,TA,TA,302000
RL,6240,AllPub,1Story,8,5,2006,Hip,Gd,TA,Y,Gd,Attchd,550,TA,TA,254000
RL,9018,AllPub,2Story,7,5,2007,Hip,Gd,TA,Y,Gd,Attchd,400,TA,TA,179540
RL,7162,AllPub,1Story,5,7,1966,Gable,TA,TA,Y,TA,Attchd,408,TA,TA,109900
RL,4130,AllPub,1Story,3,6,1935,Gable,TA,TA,Y,TA,Attchd,0,TA,TA,52000
C (all),8712,AllPub,1.5Fin,4,7,1900,Gable,TA,TA,Y,TA,Detchd,384,TA,TA,102776
RL,4671,AllPub,1Story,8,5,1988,Gable,Gd,TA,Y,Gd,Attchd,472,TA,TA,189000
RL,9873,AllPub,1Story,4,5,1970,Gable,TA,TA,N,TA,Detchd,576,TA,TA,129000
RL,13517,AllPub,2Story,6,8,1976,Gable,TA,TA,Y,Gd,Attchd,475,TA,TA,130500
RL,10140,AllPub,1Story,6,5,1974,Hip,Gd,TA,Y,TA,Attchd,478,TA,TA,165000
RM,10800,AllPub,2Story,7,8,1890,Gable,TA,TA,Y,TA,Detchd,704,TA,TA,159500
RL,10000,AllPub,1Story,5,6,1973,Gable,Gd,TA,Y,Gd,Attchd,439,TA,TA,157000
RL,10542,AllPub,2Story,7,5,1993,Hip,Gd,TA,Y,Gd,Attchd,983,TA,TA,341000
RL,9920,AllPub,1Story,5,6,1969,Gable,Gd,TA,Y,TA,Attchd,300,TA,TA,128500
RL,6563,AllPub,1Story,8,5,1985,Gable,Gd,TA,Y,Gd,Attchd,564,TA,TA,275000
RM,4426,AllPub,1Story,6,5,2004,Gable,Gd,TA,Y,Gd,Attchd,420,TA,TA,143000
RL,8120,AllPub,1Story,4,7,1970,Gable,TA,TA,Y,TA,Detchd,463,TA,TA,124500
RL,8172,AllPub,1.5Fin,4,6,1954,Gable,TA,TA,Y,TA,Detchd,548,TA,TA,135000
RL,13286,AllPub,1Story,9,5,2007,Hip,Ex,TA,Y,Ex,Attchd,768,TA,TA,320000
RL,6960,AllPub,1Story,4,6,1970,Gable,TA,TA,Y,Gd,Detchd,660,TA,TA,120500
RL,21695,AllPub,1Story,6,9,1988,Hip,Gd,TA,Y,Gd,Attchd,540,TA,TA,222000
RL,7314,AllPub,1Story,7,5,2007,Gable,Gd,TA,Y,Gd,Attchd,632,TA,TA,194500
RL,11475,AllPub,1Story,5,5,1958,Gable,TA,TA,Y,TA,Detchd,888,TA,TA,110000
RM,6240,AllPub,1.5Fin,4,5,1925,Gable,TA,TA,Y,TA,Detchd,539,TA,TA,103000
RL,5389,AllPub,1Story,8,5,1995,Gable,Gd,TA,Y,Gd,Attchd,608,TA,TA,236500
RL,9590,AllPub,SLvl,7,5,2003,Gable,Ex,TA,Y,Gd,Attchd,438,TA,TA,187500
RL,11404,AllPub,2Story,7,5,1998,Gable,Gd,TA,Y,Gd,Attchd,541,TA,TA,222500
RL,10000,AllPub,1Story,5,6,1961,Hip,TA,TA,Y,TA,Attchd,264,TA,TA,131400
RL,8978,AllPub,1Story,5,5,1968,Gable,TA,TA,Y,TA,Attchd,300,TA,TA,108000
RM,10800,AllPub,2.5Unf,7,7,1914,Gable,Gd,TA,N,TA,Detchd,320,TA,TA,163000
RL,8544,AllPub,1Story,3,4,1950,Gable,TA,TA,N,TA,Detchd,400,TA,TA,93500
RL,10463,AllPub,2Story,8,5,2005,Gable,Gd,TA,Y,Gd,Attchd,800,TA,TA,239900
RL,10800,AllPub,1Story,5,5,1987,Gable,Gd,Gd,Y,TA,Attchd,0,TA,TA,179000
RL,9313,AllPub,2Story,7,5,2004,Gable,Gd,TA,Y,Gd,Attchd,572,TA,TA,190000
RM,9600,AllPub,2Story,5,7,1910,Gable,Fa,Fa,Y,TA,Detchd,360,TA,Gd,132000
RL,6768,AllPub,1Story,6,8,1961,Hip,TA,TA,Y,Gd,Detchd,288,TA,TA,142000
RL,8450,AllPub,1Story,7,5,2000,Gable,Gd,TA,Y,TA,Attchd,539,TA,TA,179000
RL,12886,AllPub,SLvl,5,6,1963,Gable,Gd,TA,Y,TA,Attchd,480,TA,TA,175000
